| Version  | Processes | OMP |        Tarjan        |    Communication    |       Elapsed       |       Speedup       |      Efficiency     |
|  Serial  |     1     |  0  |       0.173553       |         0.0         |       0.173553      |         1.0         |         1.0         |
| Parallel |     1     |  1  |      0.0885625       |         0.0         |      0.0885625      |  1.959666901905434  |  1.959666901905434  |
| Parallel |     1     |  2  | 0.08890100000000001  |         0.0         | 0.08890100000000001 |  1.952205262033048  |  1.952205262033048  |
| Parallel |     1     |  4  |      0.0882955       |         0.0         |      0.0882955      |  1.9655928105056317 |  1.9655928105056317 |
| Parallel |     1     |  8  |      0.0884035       |         0.0         |      0.0884035      |  1.9631915025988793 |  1.9631915025988793 |
| Parallel |     2     |  1  |       0.030814       |       0.095799      | 0.12661299999999998 |  1.370736022367372  |  0.685368011183686  |
| Parallel |     2     |  2  |      0.0307515       |       0.096322      |      0.1270735      |  1.365768629966122  |  0.682884314983061  |
| Parallel |     2     |  4  |       0.030677       |      0.0962355      | 0.12691249999999998 |  1.3675012311632033 |  0.6837506155816017 |
| Parallel |     2     |  8  |       0.045978       | 0.14536300000000002 |       0.191341      |  0.9070350839600504 |  0.4535175419800252 |
| Parallel |     4     |  1  | 0.022692999999999998 |       0.365568      |      0.3882605      |  0.447001433316034  |  0.1117503583290085 |
| Parallel |     4     |  2  |       0.029369       |       0.400739      |      0.4301075      | 0.40351075021942195 | 0.10087768755485549 |
| Parallel |     4     |  4  |      0.0151135       |      0.2189355      |       0.234049      |  0.741524210742195  | 0.18538105268554875 |
| Parallel |     4     |  8  |      0.0244915       | 0.38227900000000004 | 0.40677050000000003 |  0.4266607337552748 |  0.1066651834388187 |
